,week-year,state,new_case
1074,08-2022,VI,93
1075,08-2022,VT,1511
1076,08-2022,WA,18325
1077,08-2022,WI,6079
1078,08-2022,WV,6541
1079,08-2022,WY,827
1080,09-2021,AK,876
1081,09-2021,AL,6826
1082,09-2021,AR,5458
1083,09-2021,AS,0
1084,09-2021,AZ,9412
1085,09-2021,CA,26701
1086,09-2021,CO,7070
1087,09-2021,CT,5384
1088,09-2021,DC,795
1089,09-2021,DE,1636
1090,09-2021,FL,34085
1091,09-2021,FSM,0
1092,09-2021,GA,17591
1093,09-2021,GU,15
1094,09-2021,HI,355
1095,09-2021,IA,3251
1096,09-2021,ID,1791
1097,09-2021,IL,11820
1098,09-2021,IN,5665
1099,09-2021,KS,2198
1100,09-2021,KY,5356
1101,09-2021,LA,4453
1102,09-2021,MA,10251
1103,09-2021,MD,5338
1104,09-2021,ME,1180
1105,09-2021,MI,10862
1106,09-2021,MN,5326
1107,09-2021,MO,3900
1108,09-2021,MP,1
1109,09-2021,MS,2655
1110,09-2021,MT,1005
1111,09-2021,NC,12553
1112,09-2021,ND,582
1113,09-2021,NE,2201
1114,09-2021,NH,1529
1115,09-2021,NJ,23123
1116,09-2021,NM,1854
1117,09-2021,NV,2472
1118,09-2021,NY,23663
1119,09-2021,NYC,27497
1120,09-2021,OH,11582
1121,09-2021,OK,2517
1122,09-2021,OR,1764
1123,09-2021,PA,17210
1124,09-2021,PR,1302
1125,09-2021,PW,0
1126,09-2021,RI,2259
1127,09-2021,RMI,0
1128,09-2021,SC,8588
1129,09-2021,SD,1085
1130,09-2021,TN,8497
1131,09-2021,TX,43656
1132,09-2021,UT,3668
1133,09-2021,VA,10223
1134,09-2021,VI,89
1135,09-2021,VT,830
1136,09-2021,WA,5043
1137,09-2021,WI,4391
1138,09-2021,WV,1710
1139,09-2021,WY,414
1140,09-2022,AK,2085
1141,09-2022,AL,7214
1142,09-2022,AR,3271
1143,09-2022,AS,112
1144,09-2022,AZ,3879
1145,09-2022,CA,45526
1146,09-2022,CO,4218
1147,09-2022,CT,2456
1148,09-2022,DC,352
1149,09-2022,DE,696
1150,09-2022,FL,13316
1151,09-2022,FSM,0
1152,09-2022,GA,7721
1153,09-2022,GU,1198
1154,09-2022,HI,1125
1155,09-2022,IA,2176
1156,09-2022,ID,8845
1157,09-2022,IL,10462
1158,09-2022,IN,3408
1159,09-2022,KS,1916
1160,09-2022,KY,6151
1161,09-2022,LA,2083
1162,09-2022,MA,6173
1163,09-2022,MD,2781
1164,09-2022,ME,3626
1165,09-2022,MI,7872
1166,09-2022,MN,5314
1167,09-2022,MO,4592
1168,09-2022,MP,531
1169,09-2022,MS,2152
1170,09-2022,MT,3483
1171,09-2022,NC,8520
1172,09-2022,ND,690
1173,09-2022,NE,772
1174,09-2022,NH,1484
1175,09-2022,NJ,8329
1176,09-2022,NM,2528
1177,09-2022,NV,3434
1178,09-2022,NY,8046
1179,09-2022,NYC,4524
1180,09-2022,OH,6504
1181,09-2022,OK,4104
1182,09-2022,OR,4456
1183,09-2022,PA,6172
1184,09-2022,PR,1449
1185,09-2022,PW,118
1186,09-2022,RI,1254
1187,09-2022,RMI,0
1188,09-2022,SC,2862
1189,09-2022,SD,489
1190,09-2022,TN,7043
1191,09-2022,TX,24506
1192,09-2022,UT,2292
1193,09-2022,VA,9267
1194,09-2022,VI,31
1195,09-2022,VT,904
1196,09-2022,WA,13386
1197,09-2022,WI,4121
1198,09-2022,WV,3917
1199,09-2022,WY,517
1200,10-2021,AK,922
1201,10-2021,AL,4027
1202,10-2021,AR,2160
1203,10-2021,AS,0
1204,10-2021,AZ,6975
1205,10-2021,CA,25985
1206,10-2021,CO,7126
1207,10-2021,CT,5247
1208,10-2021,DC,1159
1209,10-2021,DE,1360
1210,10-2021,FL,32056
1211,10-2021,FSM,0
1212,10-2021,GA,11189
1213,10-2021,GU,19
1214,10-2021,HI,444
1215,10-2021,IA,3237
1216,10-2021,ID,2305
1217,10-2021,IL,10580
1218,10-2021,IN,5434
1219,10-2021,KS,1887
1220,10-2021,KY,4575
1221,10-2021,LA,3437
1222,10-2021,MA,10685
1223,10-2021,MD,5971
1224,10-2021,ME,1277
1225,10-2021,MI,15068
1226,10-2021,MN,6388
1227,10-2021,MO,4137
1228,10-2021,MP,10
1229,10-2021,MS,2809
1230,10-2021,MT,884
1231,10-2021,NC,10955
1232,10-2021,ND,585
1233,10-2021,NE,2073
1234,10-2021,NH,1624
1235,10-2021,NJ,24625
1236,10-2021,NM,1425
1237,10-2021,NV,3105
1238,10-2021,NY,22384
1239,10-2021,NYC,26694
1240,10-2021,OH,10562
1241,10-2021,OK,2484
1242,10-2021,OR,2313
1243,10-2021,PA,17125
1244,10-2021,PR,1234
1245,10-2021,PW,0
1246,10-2021,RI,2207
1247,10-2021,RMI,0
1248,10-2021,SC,6657
1249,10-2021,SD,1115
1250,10-2021,TN,8465
1251,10-2021,TX,31890
1252,10-2021,UT,3545
1253,10-2021,VA,9025
1254,10-2021,VI,32
1255,10-2021,VT,707
1256,10-2021,WA,4757
1257,10-2021,WI,3768
1258,10-2021,WV,1859
1259,10-2021,WY,399
1260,10-2022,AK,1642
1261,10-2022,AL,2673
1262,10-2022,AR,3999
1263,10-2022,AS,247
1264,10-2022,AZ,6549
1265,10-2022,CA,32381
1266,10-2022,CO,3222
1267,10-2022,CT,1681
1268,10-2022,DC,545
1269,10-2022,DE,551
1270,10-2022,FL,8932
1271,10-2022,FSM,0
1272,10-2022,GA,6132
1273,10-2022,GU,789
1274,10-2022,HI,622
1275,10-2022,IA,1231
1276,10-2022,ID,5448
1277,10-2022,IL,8519
1278,10-2022,IN,2932
1279,10-2022,KS,1243
1280,10-2022,KY,4030
1281,10-2022,LA,1382
1282,10-2022,MA,4906
1283,10-2022,MD,2142
1284,10-2022,ME,1594
1285,10-2022,MI,5961
1286,10-2022,MN,4058
1287,10-2022,MO,3549
1288,10-2022,MP,253
1289,10-2022,MS,1352
1290,10-2022,MT,611
1291,10-2022,NC,5298
1292,10-2022,ND,564
1293,10-2022,NE,651
1294,10-2022,NH,972
1295,10-2022,NJ,7117
1296,10-2022,NM,1853
1297,10-2022,NV,3233
1298,10-2022,NY,6928
1299,10-2022,NYC,4863
1300,10-2022,OH,4380
1301,10-2022,OK,3192
1302,10-2022,OR,2645
1303,10-2022,PA,7444
1304,10-2022,PR,1195
1305,10-2022,PW,55
1306,10-2022,RI,1098
1307,10-2022,RMI,0
1308,10-2022,SC,1678
1309,10-2022,SD,326
1310,10-2022,TN,3442
1311,10-2022,TX,30918
1312,10-2022,UT,1271
1313,10-2022,VA,7435
1314,10-2022,VI,26
1315,10-2022,VT,803
1316,10-2022,WA,8093
1317,10-2022,WI,3078
1318,10-2022,WV,2599
1319,10-2022,WY,318
1320,11-2021,AK,883
1321,11-2021,AL,7397
1322,11-2021,AR,1734
1323,11-2021,AS,0
1324,11-2021,AZ,3671
1325,11-2021,CA,18365
1326,11-2021,CO,6906
1327,11-2021,CT,6114
1328,11-2021,DC,743
1329,11-2021,DE,1411
1330,11-2021,FL,31206
1331,11-2021,FSM,0
1332,11-2021,GA,11167
1333,11-2021,GU,12
1334,11-2021,HI,545
1335,11-2021,IA,2895
1336,11-2021,ID,2184
1337,11-2021,IL,12585
1338,11-2021,IN,5404
1339,11-2021,KS,1762
1340,11-2021,KY,4029
1341,11-2021,LA,3255
1342,11-2021,MA,12241
1343,11-2021,MD,6435
1344,11-2021,ME,1502
1345,11-2021,MI,22638
1346,11-2021,MN,7878
1347,11-2021,MO,3553
1348,11-2021,MP,3
1349,11-2021,MS,1975
1350,11-2021,MT,1240
1351,11-2021,NC,11515
1352,11-2021,ND,675
1353,11-2021,NE,1797
1354,11-2021,NH,1997
1355,11-2021,NJ,27933
1356,11-2021,NM,1393
1357,11-2021,NV,1886
1358,11-2021,NY,23637
1359,11-2021,NYC,26759
1360,11-2021,OH,10521
1361,11-2021,OK,1840
1362,11-2021,OR,1928
1363,11-2021,PA,20322
1364,11-2021,PR,1560
1365,11-2021,PW,0
1366,11-2021,RI,2177
1367,11-2021,RMI,0
1368,11-2021,SC,7097
1369,11-2021,SD,1230
1370,11-2021,TN,9397
1371,11-2021,TX,27424
1372,11-2021,UT,3271
1373,11-2021,VA,10183
1374,11-2021,VI,85
1375,11-2021,VT,839
1376,11-2021,WA,5522
1377,11-2021,WI,3924
1378,11-2021,WV,2329
1379,11-2021,WY,418
1380,11-2022,AK,1460
1381,11-2022,AL,2007
1382,11-2022,AR,3819
1383,11-2022,AS,745
1384,11-2022,AZ,5153
1385,11-2022,CA,25720
1386,11-2022,CO,2705
1387,11-2022,CT,2171
1388,11-2022,DC,529
1389,11-2022,DE,436
1390,11-2022,FL,8271
1391,11-2022,FSM,0
1392,11-2022,GA,6002
1393,11-2022,GU,399
1394,11-2022,HI,1001
1395,11-2022,IA,773
1396,11-2022,ID,4007
1397,11-2022,IL,7467
1398,11-2022,IN,2099
1399,11-2022,KS,493
1400,11-2022,KY,3425
1401,11-2022,LA,1205
1402,11-2022,MA,5264
1403,11-2022,MD,2104
1404,11-2022,ME,1405
1405,11-2022,MI,5826
1406,11-2022,MN,2744
1407,11-2022,MO,3292
1408,11-2022,MP,310
1409,11-2022,MS,830
1410,11-2022,MT,464
1411,11-2022,NC,3684
1412,11-2022,ND,253
1413,11-2022,NE,354
1414,11-2022,NH,756
1415,11-2022,NJ,6785
1416,11-2022,NM,1007
1417,11-2022,NV,540
1418,11-2022,NY,8204
1419,11-2022,NYC,6470
1420,11-2022,OH,2512
1421,11-2022,OK,2952
1422,11-2022,OR,1836
1423,11-2022,PA,5312
1424,11-2022,PR,1566
1425,11-2022,PW,46
1426,11-2022,RI,1255
1427,11-2022,RMI,0
1428,11-2022,SC,1073
1429,11-2022,SD,243
1430,11-2022,TN,2066
1431,11-2022,TX,17552
1432,11-2022,UT,923
1433,11-2022,VA,6498
1434,11-2022,VI,22
1435,11-2022,VT,895
1436,11-2022,WA,6788
1437,11-2022,WI,2654
1438,11-2022,WV,1534
1439,11-2022,WY,163
1440,12-2021,AK,1072
1441,12-2021,AL,3148
1442,12-2021,AR,1313
1443,12-2021,AS,-4
1444,12-2021,AZ,3569
1445,12-2021,CA,17265
1446,12-2021,CO,7536
1447,12-2021,CT,8519
1448,12-2021,DC,876
1449,12-2021,DE,1702
1450,12-2021,FL,35876
1451,12-2021,FSM,0
1452,12-2021,GA,10296
1453,12-2021,GU,20
1454,12-2021,HI,663
1455,12-2021,IA,3788
1456,12-2021,ID,2008
1457,12-2021,IL,15146
1458,12-2021,IN,6083
1459,12-2021,KS,1923
1460,12-2021,KY,3730
1461,12-2021,LA,3332
1462,12-2021,MA,14699
1463,12-2021,MD,7693
1464,12-2021,ME,1405
1465,12-2021,MI,37437
1466,12-2021,MN,9560
1467,12-2021,MO,3661
1468,12-2021,MP,2
1469,12-2021,MS,1629
1470,12-2021,MT,1131
1471,12-2021,NC,11598
1472,12-2021,ND,932
1473,12-2021,NE,2187
1474,12-2021,NH,2429
1475,12-2021,NJ,29495
1476,12-2021,NM,1327
1477,12-2021,NV,1967
1478,12-2021,NY,25769
1479,12-2021,NYC,29153
1480,12-2021,OH,11784
1481,12-2021,OK,1722
1482,12-2021,OR,2382
1483,12-2021,PA,25096
1484,12-2021,PR,2041
1485,12-2021,PW,0
1486,12-2021,RI,2583
1487,12-2021,RMI,0
1488,12-2021,SC,6618
1489,12-2021,SD,1358
1490,12-2021,TN,7689
1491,12-2021,TX,25486
1492,12-2021,UT,2919
1493,12-2021,VA,10229
1494,12-2021,VI,55
1495,12-2021,VT,990
1496,12-2021,WA,5795
1497,12-2021,WI,4694
1498,12-2021,WV,2838
1499,12-2021,WY,465
1500,12-2022,AK,1455
1501,12-2022,AL,3035
1502,12-2022,AR,2495
1503,12-2022,AS,1074
1504,12-2022,AZ,4566
1505,12-2022,CA,29031
1506,12-2022,CO,2223
1507,12-2022,CT,2328
1508,12-2022,DC,570
1509,12-2022,DE,427
1510,12-2022,FL,9131
1511,12-2022,FSM,1
1512,12-2022,GA,3218
1513,12-2022,GU,350
1514,12-2022,HI,724
1515,12-2022,IA,743
1516,12-2022,ID,1611
1517,12-2022,IL,8039
1518,12-2022,IN,1374
1519,12-2022,KS,482
1520,12-2022,KY,1722
1521,12-2022,LA,755
1522,12-2022,MA,6240
1523,12-2022,MD,1961
1524,12-2022,ME,1143
1525,12-2022,MI,5649
1526,12-2022,MN,2657
1527,12-2022,MO,2693
1528,12-2022,MP,333
1529,12-2022,MS,703
1530,12-2022,MT,292
1531,12-2022,NC,3882
1532,12-2022,ND,230
1533,12-2022,NE,-15
1534,12-2022,NH,836
1535,12-2022,NJ,6664
1536,12-2022,NM,1035
1537,12-2022,NV,1155
1538,12-2022,NY,10512
1539,12-2022,NYC,8186
1540,12-2022,OH,3668
1541,12-2022,OK,1905
1542,12-2022,OR,1552
1543,12-2022,PA,4193
1544,12-2022,PR,1879
1545,12-2022,PW,42
1546,12-2022,RI,1165
1547,12-2022,RMI,0
1548,12-2022,SC,1067
1549,12-2022,SD,110
1550,12-2022,TN,1731
1551,12-2022,TX,19307
1552,12-2022,UT,854
1553,12-2022,VA,5372
1554,12-2022,VI,33
1555,12-2022,VT,948
1556,12-2022,WA,5911
1557,12-2022,WI,2502
1558,12-2022,WV,821
1559,12-2022,WY,149
1560,13-2021,AK,1232
1561,13-2021,AL,2466
1562,13-2021,AR,1110
1563,13-2021,AS,0
1564,13-2021,AZ,4504
1565,13-2021,CA,18758
1566,13-2021,CO,9282
1567,13-2021,CT,8746
1568,13-2021,DC,881
1569,13-2021,DE,2328
1570,13-2021,FL,37760
1571,13-2021,FSM,0
1572,13-2021,GA,9250
1573,13-2021,GU,16
1574,13-2021,HI,820
1575,13-2021,IA,3696
1576,13-2021,ID,1753
1577,13-2021,IL,18607
1578,13-2021,IN,7022
1579,13-2021,KS,1440
1580,13-2021,KY,3574
1581,13-2021,LA,2400
1582,13-2021,MA,15676
1583,13-2021,MD,8951
1584,13-2021,ME,2271
1585,13-2021,MI,43402
1586,13-2021,MN,12434
1587,13-2021,MO,3645
1588,13-2021,MP,0
1589,13-2021,MS,1442
1590,13-2021,MT,940
1591,13-2021,NC,11628
1592,13-2021,ND,1055
1593,13-2021,NE,2413
1594,13-2021,NH,2703
1595,13-2021,NJ,31253
1596,13-2021,NM,1265
1597,13-2021,NV,1998
1598,13-2021,NY,28082
1599,13-2021,NYC,26761
1600,13-2021,OH,13408
1601,13-2021,OK,1604
1602,13-2021,OR,2778
1603,13-2021,PA,29969
1604,13-2021,PR,3322
1605,13-2021,PW,0
1606,13-2021,RI,2795
1607,13-2021,RMI,0
1608,13-2021,SC,6337
1609,13-2021,SD,1280
1610,13-2021,TN,8180
1611,13-2021,TX,23145
1612,13-2021,UT,2824
1613,13-2021,VA,9907
1614,13-2021,VI,24
1615,13-2021,VT,1262
1616,13-2021,WA,7296
1617,13-2021,WI,4927
1618,13-2021,WV,2790
1619,13-2021,WY,401
1620,13-2022,AK,1330
1621,13-2022,AL,1413
1622,13-2022,AR,575
1623,13-2022,AS,1555
1624,13-2022,AZ,10143
1625,13-2022,CA,21093
1626,13-2022,CO,2415
1627,13-2022,CT,3080
1628,13-2022,DC,564
1629,13-2022,DE,539
1630,13-2022,FL,10410
1631,13-2022,FSM,0
1632,13-2022,GA,3673
1633,13-2022,GU,257
1634,13-2022,HI,1090
1635,13-2022,IA,754
1636,13-2022,ID,661
1637,13-2022,IL,8426
1638,13-2022,IN,1326
1639,13-2022,KS,575
1640,13-2022,KY,1374
1641,13-2022,LA,575
1642,13-2022,MA,8184
1643,13-2022,MD,2325
1644,13-2022,ME,1418
1645,13-2022,MI,5418
1646,13-2022,MN,2819
1647,13-2022,MO,2469
1648,13-2022,MP,131
1649,13-2022,MS,628
1650,13-2022,MT,224
1651,13-2022,NC,3571
1652,13-2022,ND,189
1653,13-2022,NE,541
1654,13-2022,NH,901
1655,13-2022,NJ,8438
1656,13-2022,NM,745
1657,13-2022,NV,1101
1658,13-2022,NY,13480
1659,13-2022,NYC,9899
1660,13-2022,OH,3103
1661,13-2022,OK,1919
1662,13-2022,OR,1765
1663,13-2022,PA,4181
1664,13-2022,PR,2396
1665,13-2022,PW,55
1666,13-2022,RI,1286
1667,13-2022,RMI,0
1668,13-2022,SC,1014
1669,13-2022,SD,154
1670,13-2022,TN,1643
1671,13-2022,TX,12404
1672,13-2022,UT,626
1673,13-2022,VA,4668
1674,13-2022,VI,45
1675,13-2022,VT,931
1676,13-2022,WA,5168
1677,13-2022,WI,2953
1678,13-2022,WV,634
1679,13-2022,WY,111
1680,14-2021,AK,1194
1681,14-2021,AL,2216
1682,14-2021,AR,1083
1683,14-2021,AS,0
1684,14-2021,AZ,4558
1685,14-2021,CA,17273
1686,14-2021,CO,10830
1687,14-2021,CT,7630
1688,14-2021,DC,830
1689,14-2021,DE,2057
1690,14-2021,FL,42282
1691,14-2021,FSM,0
1692,14-2021,GA,9020
1693,14-2021,GU,17
1694,14-2021,HI,710
1695,14-2021,IA,3635
1696,14-2021,ID,2193
1697,14-2021,IL,22645
1698,14-2021,IN,7606
1699,14-2021,KS,1363
1700,14-2021,KY,3548
1701,14-2021,LA,3369
1702,14-2021,MA,14346
1703,14-2021,MD,9587
1704,14-2021,ME,2678
1705,14-2021,MI,48208
1706,14-2021,MN,14010
1707,14-2021,MO,3986
1708,14-2021,MP,1
1709,14-2021,MS,1524
1710,14-2021,MT,1033
1711,14-2021,NC,11633
1712,14-2021,ND,1107
1713,14-2021,NE,2434
1714,14-2021,NH,2998
1715,14-2021,NJ,26707
1716,14-2021,NM,1216
1717,14-2021,NV,2788
1718,14-2021,NY,27027
1719,14-2021,NYC,23252
1720,14-2021,OH,13589
1721,14-2021,OK,1590
1722,14-2021,OR,3605
1723,14-2021,PA,29829
1724,14-2021,PR,5434
1725,14-2021,PW,0
1726,14-2021,RI,2710
1727,14-2021,RMI,0
1728,14-2021,SC,5686
1729,14-2021,SD,1344
1730,14-2021,TN,7728
1731,14-2021,TX,24287
1732,14-2021,UT,2763
1733,14-2021,VA,10444
1734,14-2021,VI,40
1735,14-2021,VT,1022
1736,14-2021,WA,7735
1737,14-2021,WI,6311
1738,14-2021,WV,2648
1739,14-2021,WY,426
1740,14-2022,AK,924
1741,14-2022,AL,1265
1742,14-2022,AR,565
1743,14-2022,AS,1437
1744,14-2022,AZ,6840
1745,14-2022,CA,19766
1746,14-2022,CO,2604
1747,14-2022,CT,3618
1748,14-2022,DC,717
1749,14-2022,DE,706
1750,14-2022,FL,12126
1751,14-2022,FSM,0
1752,14-2022,GA,2823
1753,14-2022,GU,228
1754,14-2022,HI,1138
1755,14-2022,IA,673
1756,14-2022,ID,427
1757,14-2022,IL,10786
1758,14-2022,IN,1230
1759,14-2022,KS,702
1760,14-2022,KY,1370
1761,14-2022,LA,801
1762,14-2022,MA,9539
1763,14-2022,MD,3207
1764,14-2022,ME,1458
1765,14-2022,MI,3759
1766,14-2022,MN,3136
1767,14-2022,MO,3745
1768,14-2022,MP,5
1769,14-2022,MS,1103
1770,14-2022,MT,228
1771,14-2022,NC,4304
1772,14-2022,ND,248
1773,14-2022,NE,320
1774,14-2022,NH,1077
1775,14-2022,NJ,11057
1776,14-2022,NM,990
1777,14-2022,NV,1147
1778,14-2022,NY,17850
1779,14-2022,NYC,12247
1780,14-2022,OH,3828
1781,14-2022,OK,1694
1782,14-2022,OR,2172
1783,14-2022,PA,5917
1784,14-2022,PR,4236
1785,14-2022,PW,56
1786,14-2022,RI,1957
1787,14-2022,RMI,0
1788,14-2022,SC,1041
1789,14-2022,SD,137
1790,14-2022,TN,1969
1791,14-2022,TX,14723
1792,14-2022,UT,699
1793,14-2022,VA,6095
1794,14-2022,VI,108
1795,14-2022,VT,1075
1796,14-2022,WA,10796
1797,14-2022,WI,3359
1798,14-2022,WV,550
1799,14-2022,WY,114
1800,15-2021,AK,1048
1801,15-2021,AL,3675
1802,15-2021,AR,1354
1803,15-2021,AS,0
1804,15-2021,AZ,4029
1805,15-2021,CA,18888
1806,15-2021,CO,11081
1807,15-2021,CT,8255
1808,15-2021,DC,817
1809,15-2021,DE,2463
1810,15-2021,FL,43723
1811,15-2021,FSM,0
1812,15-2021,GA,10600
1813,15-2021,GU,36
1814,15-2021,HI,650
1815,15-2021,IA,3255
1816,15-2021,ID,1574
1817,15-2021,IL,22745
1818,15-2021,IN,8052
1819,15-2021,KS,1625
1820,15-2021,KY,4232
1821,15-2021,LA,3582
1822,15-2021,MA,13672
1823,15-2021,MD,9612
1824,15-2021,ME,2943
1825,15-2021,MI,40931
1826,15-2021,MN,14259
1827,15-2021,MO,14226
1828,15-2021,MP,2
1829,15-2021,MS,1697
1830,15-2021,MT,947
1831,15-2021,NC,13743
1832,15-2021,ND,1009
1833,15-2021,NE,2286
1834,15-2021,NH,2833
1835,15-2021,NJ,25601
1836,15-2021,NM,1703
1837,15-2021,NV,2763
1838,15-2021,NY,23753
1839,15-2021,NYC,19447
1840,15-2021,OH,14499
1841,15-2021,OK,1635
1842,15-2021,OR,4416
1843,15-2021,PA,34728
1844,15-2021,PR,7627
1845,15-2021,PW,0
1846,15-2021,RI,2706
1847,15-2021,RMI,0
1848,15-2021,SC,6626
1849,15-2021,SD,1351
1850,15-2021,TN,11258
1851,15-2021,TX,23563
1852,15-2021,UT,2749
1853,15-2021,VA,10503
1854,15-2021,VI,57
1855,15-2021,VT,852
1856,15-2021,WA,9114
1857,15-2021,WI,6048
1858,15-2021,WV,2763
1859,15-2021,WY,431
1860,15-2022,AK,1285
1861,15-2022,AL,1224
1862,15-2022,AR,545
1863,15-2022,AS,282
1864,15-2022,AZ,2777
1865,15-2022,CA,25540
1866,15-2022,CO,3462
1867,15-2022,CT,4758
1868,15-2022,DC,2169
1869,15-2022,DE,1122
1870,15-2022,FL,16968
1871,15-2022,FSM,0
1872,15-2022,GA,3552
1873,15-2022,GU,173
1874,15-2022,HI,1300
1875,15-2022,IA,1060
1876,15-2022,ID,403
1877,15-2022,IL,14049
1878,15-2022,IN,865
1879,15-2022,KS,1245
1880,15-2022,KY,1816
1881,15-2022,LA,1024
1882,15-2022,MA,14469
1883,15-2022,MD,4322
1884,15-2022,ME,2369
1885,15-2022,MI,7725
1886,15-2022,MN,4413
1887,15-2022,MO,2444
1888,15-2022,MP,45
1889,15-2022,MS,524
1890,15-2022,MT,265
1891,15-2022,NC,7423
1892,15-2022,ND,273
1893,15-2022,NE,436
1894,15-2022,NH,1656
1895,15-2022,NJ,14453
1896,15-2022,NM,892
1897,15-2022,NV,1254
1898,15-2022,NY,25125
1899,15-2022,NYC,15561
1900,15-2022,OH,4808
1901,15-2022,OK,1596
1902,15-2022,OR,2899
1903,15-2022,PA,8131
1904,15-2022,PR,5106
1905,15-2022,PW,92
1906,15-2022,RI,2399
1907,15-2022,RMI,7
1908,15-2022,SC,1445
1909,15-2022,SD,124
1910,15-2022,TN,2127
1911,15-2022,TX,14170
1912,15-2022,UT,740
1913,15-2022,VA,7422
1914,15-2022,VI,118
1915,15-2022,VT,1518
1916,15-2022,WA,7676
1917,15-2022,WI,4735
1918,15-2022,WV,476
1919,15-2022,WY,-23
1920,16-2021,AK,1064
1921,16-2021,AL,3732
1922,16-2021,AR,1235
1923,16-2021,AS,0
1924,16-2021,AZ,5026
1925,16-2021,CA,13773
1926,16-2021,CO,11898
1927,16-2021,CT,5647
1928,16-2021,DC,640
1929,16-2021,DE,2146
1930,16-2021,FL,38998
1931,16-2021,FSM,0
1932,16-2021,GA,9552
1933,16-2021,GU,46
1934,16-2021,HI,559
1935,16-2021,IA,2968
1936,16-2021,ID,1326
1937,16-2021,IL,19423
1938,16-2021,IN,6839
1939,16-2021,KS,1675
1940,16-2021,KY,3445
1941,16-2021,LA,3418
1942,16-2021,MA,10320
1943,16-2021,MD,7492
1944,16-2021,ME,2099
1945,16-2021,MI,29681
1946,16-2021,MN,12151
1947,16-2021,MO,-6148
1948,16-2021,MP,2
1949,16-2021,MS,1675
1950,16-2021,MT,959
1951,16-2021,NC,12837
1952,16-2021,ND,934
1953,16-2021,NE,2189
1954,16-2021,NH,2263
1955,16-2021,NJ,20493
1956,16-2021,NM,1358
1957,16-2021,NV,2653
1958,16-2021,NY,17600
1959,16-2021,NYC,14057
1960,16-2021,OH,11334
1961,16-2021,OK,1554
1962,16-2021,OR,5429
1963,16-2021,PA,27129
1964,16-2021,PR,6040
1965,16-2021,PW,0
1966,16-2021,RI,2007
1967,16-2021,RMI,0
1968,16-2021,SC,5780
1969,16-2021,SD,930
1970,16-2021,TN,7361
1971,16-2021,TX,23278
1972,16-2021,UT,2641
1973,16-2021,VA,8498
1974,16-2021,VI,55
1975,16-2021,VT,586
1976,16-2021,WA,9982
1977,16-2021,WI,5112
1978,16-2021,WV,2551
1979,16-2021,WY,433
1980,16-2022,AK,1507
1981,16-2022,AL,1718
1982,16-2022,AR,746
1983,16-2022,AS,172
1984,16-2022,AZ,2377
1985,16-2022,CA,37047
1986,16-2022,CO,4712
1987,16-2022,CT,6158
1988,16-2022,DC,1583
1989,16-2022,DE,1183
1990,16-2022,FL,22207
1991,16-2022,FSM,7
1992,16-2022,GA,2526
1993,16-2022,GU,206
1994,16-2022,HI,1666
1995,16-2022,IA,1255
1996,16-2022,ID,505
1997,16-2022,IL,19551
1998,16-2022,IN,3194
1999,16-2022,KS,1574
2000,16-2022,KY,2337
2001,16-2022,LA,1271
2002,16-2022,MA,13862
2003,16-2022,MD,5574
2004,16-2022,ME,1947
2005,16-2022,MI,10474
2006,16-2022,MN,6221
2007,16-2022,MO,3248
2008,16-2022,MP,18
2009,16-2022,MS,492
2010,16-2022,MT,375
2011,16-2022,NC,9482
2012,16-2022,ND,331
2013,16-2022,NE,701
2014,16-2022,NH,2117
2015,16-2022,NJ,14906
2016,16-2022,NM,1185
2017,16-2022,NV,1462
2018,16-2022,NY,27367
2019,16-2022,NYC,17616
2020,16-2022,OH,6890
2021,16-2022,OK,1686
2022,16-2022,OR,4760
2023,16-2022,PA,10109
2024,16-2022,PR,21622
2025,16-2022,PW,206
2026,16-2022,RI,2259
2027,16-2022,RMI,4
2028,16-2022,SC,2235
2029,16-2022,SD,165
2030,16-2022,TN,2726
2031,16-2022,TX,15022
2032,16-2022,UT,1197
2033,16-2022,VA,8001
2034,16-2022,VI,209
2035,16-2022,VT,1778
2036,16-2022,WA,10784
2037,16-2022,WI,6504
2038,16-2022,WV,906
2039,16-2022,WY,134
2040,17-2021,AK,995
2041,17-2021,AL,2417
2042,17-2021,AR,1326
2043,17-2021,AS,0
2044,17-2021,AZ,5495
2045,17-2021,CA,12341
2046,17-2021,CO,11828
2047,17-2021,CT,4181
2048,17-2021,DC,529
2049,17-2021,DE,1611
2050,17-2021,FL,34471
2051,17-2021,FSM,0
2052,17-2021,GA,8635
2053,17-2021,GU,67
2054,17-2021,HI,717
2055,17-2021,IA,2496
2056,17-2021,ID,1502
2057,17-2021,IL,18870
2058,17-2021,IN,7618
2059,17-2021,KS,1765
2060,17-2021,KY,3751
2061,17-2021,LA,2996
2062,17-2021,MA,8709
2063,17-2021,MD,5989
2064,17-2021,ME,2470
2065,17-2021,MI,23299
2066,17-2021,MN,10837
2067,17-2021,MO,5021
2068,17-2021,MP,4
2069,17-2021,MS,1450
2070,17-2021,MT,937
2071,17-2021,NC,11608
2072,17-2021,ND,1020
2073,17-2021,NE,1434
2074,17-2021,NH,1621
2075,17-2021,NJ,11620
2076,17-2021,NM,1517
2077,17-2021,NV,2585
2078,17-2021,NY,13777
2079,17-2021,NYC,10099
2080,17-2021,OH,10586
2081,17-2021,OK,1523
2082,17-2021,OR,5667
2083,17-2021,PA,22984
2084,17-2021,PR,3777
